iter	Passed	Remaining
0	2	200
1	3	190
2	5	173
3	6	155
4	8	152
5	9	146
6	10	140
7	11	135
8	12	130
9	13	125
10	14	120
11	15	115
12	16	111
13	17	108
14	18	104
15	19	101
16	19	97
17	20	94
18	21	91
19	22	89
20	23	86
21	23	83
22	24	81
23	25	79
24	25	77
25	26	75
26	27	73
27	27	71
28	28	69
29	29	67
30	29	65
31	30	64
32	30	62
33	31	60
34	32	59
35	32	57
36	33	56
37	33	55
38	34	53
39	34	52
40	35	51
41	35	49
42	36	48
43	36	46
44	37	45
45	37	44
46	38	43
47	39	42
48	39	41
49	40	40
50	40	39
51	41	38
52	41	37
53	42	36
54	42	35
55	43	34
56	44	33
57	44	32
58	45	31
59	45	30
60	46	29
61	46	28
62	47	27
63	48	27
64	48	26
65	49	25
66	50	24
67	50	23
68	51	23
69	51	22
70	52	21
71	52	20
72	53	19
73	54	19
74	54	18
75	55	17
76	55	16
77	56	15
78	57	15
79	57	14
80	58	13
81	58	12
82	59	12
83	59	11
84	60	10
85	61	9
86	61	9
87	62	8
88	62	7
89	63	7
90	64	6
91	64	5
92	65	4
93	65	4
94	66	3
95	66	2
96	67	2
97	68	1
98	68	0
99	69	0
